username,text,profile_pic_url,nationality
musarashford8,Cristiano league A K A Champion league,https://instagram.fplu33-1.fna.fbcdn.net/v/t51.2885-19/453713856_3841988269457411_6797746066875658459_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fplu33-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=ijOcmkCjsVAQ7kNvgGevqnj&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYB4gf6vdVZjfCnkNQg-uVJkrmRscNzDJCKoWZsZQHuihQ&oe=66DE0B81&_nc_sid=10d13b,United States
gabenoboi,👏,https://instagram.fplu33-1.fna.fbcdn.net/v/t51.2885-19/458371282_876306157202059_4668158897985773748_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fplu33-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=sad6hvps4JcQ7kNvgFTHCD-&_nc_gid=cb456a7f8c924d2b8e9e3b63c45abeeb&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYA6nJ7bbpnz4ND4sY9sA0xqdJNfNAA7KhxmnkVY-EwR1g&oe=66DE0DFD&_nc_sid=10d13b,
petilso_mendez,Vem buscar a qui em Angola quero ser jogador mais não tenho o portunidade de chegar fora do pais,https://instagram.fplu33-1.fna.fbcdn.net/v/t51.2885-19/339303473_748034983635521_7249161464991693339_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fplu33-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=PhFdsIQ5064Q7kNvgGVpQPi&_nc_gid=cb456a7f8c924d2b8e9e3b63c45abeeb&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAcfk0F-MMGB0Tm9BFxb7UO9-AODfkUoSyDFJwd9n-j_A&oe=66DE0460&_nc_sid=10d13b,Portugal
23_luez,@__aerv هههههه,https://instagram.fplu33-1.fna.fbcdn.net/v/t51.2885-19/430494332_7554954041287782_6751593645822259324_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fplu33-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=Peu5DbggjDoQ7kNvgEvqVYK&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCIgNKbIo1G5qjN4QKpCHZsjZmTdKEGUm4BD-wt2589PQ&oe=66DE32F3&_nc_sid=10d13b,Unknown
gusttavoneves_specter,Cadê o Cristiano Ronaldo?,https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/456701904_817823577195346_9144705746235239029_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=110&_nc_ohc=Ucwy9z9nWa4Q7kNvgGoJRia&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYBwgVpkO8RspdkxtzzXsyO1F0aTDZ0qa3fWgXLL7FPtZQ&oe=66DE0E44&_nc_sid=10d13b,Portugal
h_q__2005,TAJIKISTAN 🇹🇯,https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/404594742_267968559203034_5324357648026264205_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=QQZZ_eoxWHcQ7kNvgG_j--w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDagCSD9OAvUNP09WOOBOJhTZOQqNOJaRE9yaT30Y4bRA&oe=66DE0BB7&_nc_sid=10d13b,Vietnam
mistermisnadi,👏🔥,https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/324264835_101007862874904_7786912663810121093_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=qb3K8yo7p7MQ7kNvgFQVuxw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDUr1Koj1Fz2Qe836kKm4-xbPGPDA7hV2iGd_n5-7GfgQ&oe=66DE1C3C&_nc_sid=10d13b,
prabhas___fan_girl___182_,,https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/458091708_1237630267153339_4913471627130669929_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=SgE3O2v_UPoQ7kNvgF4HwKD&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDzp_k5b4hBtpZ8eJt2r-tGcJUq5Lk_LO8gMRN7SkHTCw&oe=66DE1A11&_nc_sid=10d13b,
imen_liya,😍,https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/456350211_1463801578347798_4912932790333005543_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=CsLRX30QqGAQ7kNvgEktOfY&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYDwOURCyEoop_AV_Z_O2-kLyLRGQuNG3GQp5jRPiQKG6Q&oe=66DE13E8&_nc_sid=10d13b,
pk1enz,@poq7786 هوة انت رْمال شحجي وياك وشايل غباء مالة حدود,https://scontent-man2-1.cdninstagram.com/v/t51.2885-19/427397944_1033934831040804_5091712592210527270_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=7FDpATLo_cUQ7kNvgEbwhK_&_nc_gid=c3ff397510184ed3a9f8ed7b21fa2f2a&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYApC10OMJ_Bi_b659_aIB-ImqXpVSM8muoIkfJcvnb9CA&oe=66DE0DE2&_nc_sid=10d13b,Saudi Arabia
oken_12_90,🔥🔥🔥❤️❤️,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-19/410639927_1094723481707308_60837019908196976_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=GTfwbjRNTvsQ7kNvgFYfBiO&_nc_gid=438ac833754740608ab3f4c56003a6cc&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYChbchNcrllKpgwoxBhBv4F-6o40NMClM7bctMcFA1sww&oe=66DE3778&_nc_sid=10d13b,
hdangg38,Good,https://scontent.cdninstagram.com/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=scontent.cdninstagram.com&_nc_cat=1&_nc_ohc=nZJuW2sO_90Q7kNvgG-yCWH&edm=AAAAAAABAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AYCVd4_YCZeQoUEjWd6Lv60utd1ymQUsFzL8v4w25muqqg&oe=66DE21CF&_nc_sid=328259,Unknown
hmydhmdy242,داداش‌رونا‌لدو‌مبارک‌باشه👑👑👑❤️❤️❤️❤️👑👑👑👑,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-19/457853157_525417943176851_8848763927093915030_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=MU_YzsG7Sl4Q7kNvgGuTX2-&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYCVPMwEqrQG-5K3Q9fKNINWZ15WISSezjEfHwYxEbbgoQ&oe=66DE2721&_nc_sid=10d13b,Iran
bean95709,Back to the old days...👑,https://scontent.cdninstagram.com/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=scontent.cdninstagram.com&_nc_cat=1&_nc_ohc=nZJuW2sO_90Q7kNvgG-yCWH&edm=AAAAAAABAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AYCVd4_YCZeQoUEjWd6Lv60utd1ymQUsFzL8v4w25muqqg&oe=66DE21CF&_nc_sid=328259,United States
suraj_king908082,❤️❤️❤️👏👏,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/454426278_996622685271324_7106177482045763569_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=ZxyZ0TXZHAsQ7kNvgG6UNwg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAUOtFc7q8Z96Pt2gRA5aQiVojZdpLwyjlK2uX46uMgcA&oe=66DE29FF&_nc_sid=10d13b,
taha.batmn,6. Ucl,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-19/450947663_1436479737064816_2489742084646371436_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=wf2qUlYXrGUQ7kNvgHliDvU&_nc_gid=438ac833754740608ab3f4c56003a6cc&edm=APs17CUBAAAA&ccb=7-5&oh=00_AYAs3a7pkAci41Vg6WZRhAEo3LBIXPZgLshTO9Cv8VvJhw&oe=66DE0C01&_nc_sid=10d13b,Romania
